province,city,name,address
北京市,北京市,星巴克咖啡(古北咖啡店),古北口镇司马台村国际休闲旅游度假区第1层101单元(售票大厅内)
北京市,北京市,星巴克咖啡(国瑞店),崇文门外大街18号国瑞购物中心B2层
北京市,北京市,星巴克咖啡(北京霄云路咖啡店),霄云路甲26号海航万豪酒店1层
北京市,北京市,星巴克咖啡(北京新世界店),崇文门外大街3-5号新世界百货崇文店综合馆F1层
北京市,北京市,星巴克咖啡(欧陆广场店),裕祥路99号1层l105-l106单元
北京市,北京市,星巴克咖啡(百盛购物中心复兴门店北楼),复兴门内大街101号百盛购物中心复兴门店北楼F1层
北京市,北京市,星巴克咖啡(北京七圣中街咖啡店),七圣中街12号院北京爱琴海购物中心F1层
北京市,北京市,星巴克咖啡(翠微百货大成路店),大成南里3区13号翠微百货1层、B1
北京市,北京市,星巴克咖啡(北京雍和大厦店),安定门东大街28号雍和大厦1层
北京市,北京市,星巴克咖啡(北京西站),莲花池东路118号北京西站通廊7-1号
北京市,北京市,星巴克咖啡(北京翠微路咖啡店),翠微路12号凯德Mall1层101-06/44/K12B号
北京市,北京市,星巴克咖啡(光耀东方商场店),羊坊店路18号光耀东方广场1层103单元
北京市,北京市,星巴克咖啡(中关村南大街店),中关村南大街18号北京国际大厦C座01-101单元
北京市,北京市,星巴克咖啡(阜石路店),阜石路300号喜隆多新国际购物中心F1层
北京市,北京市,星巴克咖啡(惠新东街咖啡店),惠新东街4号3号楼1层101单元
北京市,北京市,星巴克咖啡(东直门店),东直门南大街3号国华投资1层01单元
北京市,北京市,星巴克咖啡(复兴门外店),复兴门外大街A2中化大厦1层
北京市,北京市,星巴克咖啡(成寿寺路店),南三环东路成寿寺路2号新业广场1层A129
北京市,北京市,星巴克咖啡(北京三里屯北区店),三里屯路11号院B1层NLG-32A单元
北京市,北京市,星巴克咖啡(北京首体南路咖啡店),主语国际4号楼1层
北京市,北京市,星巴克咖啡(北京国航大厦店),霄云路36号国航大厦A座1层1号
北京市,北京市,星巴克咖啡(北京新源南路咖啡店),新源南路1号(都汇天地购物中心B1层B18单元)
北京市,北京市,星巴克咖啡(首都国际机场2店),机场西路北京首都国际机场2号航站楼F1层
北京市,北京市,星巴克咖啡(五棵松卓展1店),复兴路69号3号楼卓展购物中心1层
北京市,北京市,星巴克咖啡(中海国际中心店),平安里西大街28号中海国际大厦1层6-7单元
北京市,北京市,星巴克咖啡(北苑店),红军营南路天畅园7号楼1层108号(近天乐园)
北京市,北京市,星巴克咖啡(腾达大厦店),西直门外大街168号腾达大厦2层210号
北京市,北京市,星巴克咖啡(北京西大望路温特莱店),西大望路1号温特莱中心1层
北京市,北京市,星巴克咖啡(北京南锣鼓巷咖啡店),南锣鼓巷20号
北京市,北京市,星巴克咖啡(万通中心店),金汇路世界城商业街9号楼1层W111单元
北京市,北京市,星巴克咖啡(华贸二店),建国路87号华贸中心19号楼1层102单元
北京市,北京市,星巴克咖啡(太平桥大街店),太平桥大街18号丰融国际2层203室
北京市,北京市,星巴克咖啡(北辰西路店),北辰西路8号3号楼B座北辰世纪中心首层109单元
北京市,北京市,星巴克咖啡(北京龙湖天街店),颐和园206号龙湖星悦荟L1-01-03号(近西苑地铁C2口)
北京市,北京市,星巴克咖啡(北京建威大厦店),南礼士路66号建威大厦1层
北京市,北京市,星巴克咖啡(金宝大厦店),金宝街89号金宝大厦写字楼1层4号
北京市,北京市,星巴克咖啡(北京霞光里店),东三环北路霞光里18号佳程广场A座3层
北京市,北京市,星巴克咖啡(丰联店),朝阳门外大街18号丰联广场F1层
北京市,北京市,星巴克咖啡(北京凯恒店),朝阳门内大街2号凯恒中心B座1层4单元
北京市,北京市,星巴克咖啡(北京前门大街店),前门大街1-1号
北京市,北京市,星巴克咖啡(世茂大厦店),建国路甲92号世茂大厦1层102单元
北京市,北京市,星巴克咖啡(北京远洋天地店),东四环中路56号远洋国际中心A座1层109室
北京市,北京市,星巴克咖啡(北京荣祥广场店),日祥广场809号
北京市,北京市,星巴克咖啡(北京海润店),将台路乙2号院海润国际公寓1层
北京市,北京市,星巴克咖啡(东方新天地),东长安街1号北京东方广场东方新天地商场平台层P-W18-10号
北京市,北京市,星巴克咖啡(北京新闻大厦店),建国门内大街26号新闻大厦1层
北京市,北京市,星巴克咖啡(北京大恒科技大厦店),苏州街3号大恒科技大厦1层
北京市,北京市,星巴克咖啡(蓝色港湾第二咖啡店),朝阳公园路6号院蓝色港湾国际商区2F层
北京市,北京市,星巴克咖啡(西城远洋大厦店),复兴门内大街158号远洋大厦1层G03A
北京市,北京市,星巴克咖啡(北京LG大厦店),建国门外大街乙12号北京双子座大厦1层L118
北京市,北京市,星巴克咖啡(北京新族大厦店),日坛路6号新族大厦首层1B
北京市,北京市,星巴克咖啡(北京亮马河大厦店),东三环北路8号亮马河大厦1层
北京市,北京市,星巴克咖啡(金树街店),金城坊街金融街公寓F座9-11号
北京市,北京市,星巴克咖啡(贵友大厦店),建国门外大街甲5号(贵友大厦东侧)
北京市,北京市,星巴克咖啡(庄胜崇光店),宣武门外大街12号庄胜崇光百货新馆B1层
北京市,北京市,星巴克咖啡(北京金码大厦店),学清路甲38号金码大厦A座1层
北京市,北京市,星巴克咖啡(北京大学医学部店),学院路38号北京大学医学部产业楼1层
北京市,北京市,星巴克咖啡(北京世东国际店),广渠路18号世东国际1号楼1层105-106单元
北京市,北京市,星巴克咖啡(新世界百货崇文店青春馆),崇文门外大街5号北京新世界商场青春馆B1层010009B
北京市,北京市,星巴克咖啡(来福士),东直门南大街1-1号来福士F2层L2-20
北京市,北京市,星巴克咖啡(花乡奥莱村店),南四环西路76号花乡奥莱物业2号楼1层02111
北京市,北京市,星巴克咖啡(东北旺第二咖啡店),东北旺西路8号中关村软件园23号楼孵化加速器楼1层
北京市,北京市,星巴克咖啡(祥云东方苑二店),空港街道安泰大街6号院11号楼107
北京市,北京市,星巴克咖啡(远大路金源燕莎2店),远大路1号世纪金源购物中心东区B1层
北京市,北京市,星巴克咖啡(南站3店),永外车站路12号北京南站B1层
北京市,北京市,星巴克咖啡(北京南站第1咖啡店),永外车站路12号北京南站F2层
北京市,北京市,星巴克咖啡(北京南站第2咖啡店),永外车站路12号北京南站B1层
北京市,北京市,星巴克咖啡(望京东园二店),望京东路保利国际广场T1座1层101单元
北京市,北京市,星巴克咖啡(北京万达广场2店),建国路93号万达广场B座万达影院3层
北京市,北京市,星巴克咖啡(资和信百货店),西四环南路1号资和信百货商场1层-1024 (看丹桥南侧)
北京市,北京市,星巴克咖啡(北京永定门店),永定门西滨河路8号院7楼中海地产广场101东塔2单元
北京市,北京市,星巴克咖啡(北京环球金融中心店),东三环中路一号环球金融中心1层W102
北京市,北京市,星巴克咖啡(贵友百货通州店),云景东路1号贵友百货(通州店)F1层
北京市,北京市,星巴克咖啡(首都机场T2店),T2航站楼国际隔离区2层
北京市,北京市,星巴克咖啡(北京南站第5咖啡店),永外车站路12号北京南站F1层
